q torque X Z vX vZ pasEffectue 
0.076725 3176.454509 0.001328 -0.020178 0.003147 -0.037937 0
0.079986 3071.247919 0.001298 -0.019882 0.003093 -0.039312 0
0.080069 3049.351202 0.001328 -0.020178 0.003147 -0.037920 0
0.076725 3176.454509 0.001298 -0.019882 0.003093 -0.039326 0
0.076725 3176.454509 0.001298 -0.019882 0.003093 -0.039326 0
0.080069 3049.351202 0.001360 -0.020496 0.003276 -0.039587 0
0.076856 3163.846265 0.001360 -0.020496 0.003276 -0.039600 0
0.076725 3176.454509 0.001328 -0.020178 0.003147 -0.037937 0
0.076856 3163.846265 0.001360 -0.020496 0.003276 -0.039600 0
0.080069 3049.351202 0.001328 -0.020178 0.003147 -0.037920 0
0.080069 3049.351202 0.001328 -0.020178 0.003147 -0.037920 0
0.076856 3163.846265 0.001393 -0.020786 0.003339 -0.038155 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.080069 3049.351202 0.001360 -0.020496 0.003276 -0.039587 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.076856 3163.846265 0.001360 -0.020496 0.003276 -0.039600 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.076856 3163.846265 0.001360 -0.020496 0.003276 -0.039600 0
0.080151 3025.952192 0.001427 -0.021097 0.003475 -0.039771 0
0.076856 3163.846265 0.001393 -0.020786 0.003339 -0.038155 0
0.077042 3150.677066 0.001427 -0.021097 0.003475 -0.039784 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.077042 3150.677066 0.001427 -0.021097 0.003475 -0.039784 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.080151 3025.952192 0.001393 -0.020786 0.003339 -0.038138 0
0.077042 3150.677066 0.001461 -0.021379 0.003540 -0.038295 0
0.080271 3003.298354 0.001461 -0.021379 0.003540 -0.038277 0
0.080151 3025.952192 0.001427 -0.021097 0.003475 -0.039771 0
0.080271 3003.298354 0.001461 -0.021379 0.003540 -0.038277 0
0.077042 3150.677066 0.001427 -0.021097 0.003475 -0.039784 0
0.077042 3150.677066 0.001427 -0.021097 0.003475 -0.039784 0
0.080271 3003.298354 0.001498 -0.021682 0.003673 -0.039889 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.077042 3150.677066 0.001461 -0.021379 0.003540 -0.038295 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.080271 3003.298354 0.001461 -0.021379 0.003540 -0.038277 0
0.080271 3003.298354 0.001461 -0.021379 0.003540 -0.038277 0
0.077299 3137.438293 0.001534 -0.021956 0.003734 -0.038383 0
0.080444 2983.185808 0.001534 -0.021956 0.003734 -0.038365 0
0.080271 3003.298354 0.001498 -0.021682 0.003673 -0.039889 0
0.080444 2983.185808 0.001534 -0.021956 0.003734 -0.038365 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.080444 2983.185808 0.001572 -0.022251 0.003858 -0.039969 0
0.077299 3137.438293 0.001498 -0.021682 0.003673 -0.039902 0
0.077606 3124.461028 0.001572 -0.022251 0.003858 -0.039982 0
0.077606 3124.461028 0.001572 -0.022251 0.003858 -0.039982 0
0.077299 3137.438293 0.001534 -0.021956 0.003734 -0.038383 0
0.080444 2983.185808 0.001534 -0.021956 0.003734 -0.038365 0
0.077606 3124.461028 0.001611 -0.022517 0.003909 -0.038449 0
0.080444 2983.185808 0.001534 -0.021956 0.003734 -0.038365 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.080444 2983.185808 0.001572 -0.022251 0.003858 -0.039969 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.077606 3124.461028 0.001572 -0.022251 0.003858 -0.039982 0
0.077606 3124.461028 0.001572 -0.022251 0.003858 -0.039982 0
