q torque X Z vX vZ pasEffectue 
0.107818 18014.968189 0.000080 -0.006024 0.000596 -0.006014 0
0.111147 17945.084061 0.000080 -0.006024 0.000596 -0.006014 0
0.111147 17945.084061 0.000080 -0.006024 0.000596 -0.006014 0
0.111147 17945.084061 0.000088 -0.006022 0.000571 -0.005901 0
0.114097 17926.448732 0.000088 -0.006022 0.000571 -0.005901 0
0.114097 17926.448732 0.000088 -0.006022 0.000571 -0.005901 0
0.114097 17926.448732 0.000096 -0.006021 0.000544 -0.005952 0
0.116625 17852.688061 0.000096 -0.006021 0.000544 -0.005952 0
0.116625 17852.688061 0.000096 -0.006021 0.000544 -0.005952 0
0.116625 17852.688061 0.000096 -0.006021 0.000544 -0.005952 0
0.116625 17852.688061 0.000102 -0.006019 0.000488 -0.005858 0
0.118733 17836.658528 0.000102 -0.006019 0.000488 -0.005858 0
0.118733 17836.658528 0.000102 -0.006019 0.000488 -0.005858 0
0.118733 17836.658528 0.000107 -0.006017 0.000433 -0.005929 0
0.120393 17759.450826 0.000107 -0.006017 0.000433 -0.005929 0
0.120393 17759.450826 0.000107 -0.006017 0.000433 -0.005929 0
0.120393 17759.450826 0.000111 -0.006014 0.000352 -0.005851 0
0.121614 17745.778478 0.000111 -0.006014 0.000352 -0.005851 0
0.121614 17745.778478 0.000111 -0.006014 0.000352 -0.005851 0
0.121614 17745.778478 0.000111 -0.006014 0.000352 -0.005851 0
0.121614 17745.778478 0.000114 -0.006013 0.000276 -0.005937 0
0.122383 17665.569207 0.000114 -0.006013 0.000276 -0.005937 0
0.122383 17665.569207 0.000114 -0.006013 0.000276 -0.005937 0
0.122383 17665.569207 0.000115 -0.006011 0.000177 -0.005872 0
0.122712 17653.954192 0.000115 -0.006011 0.000177 -0.005872 0
0.122712 17653.954192 0.000115 -0.006011 0.000177 -0.005872 0
0.122712 17653.954192 0.000115 -0.006010 0.000088 -0.005969 0
0.122603 17571.176580 0.000115 -0.006010 0.000088 -0.005969 0
0.122603 17571.176580 0.000115 -0.006010 0.000088 -0.005969 0
0.122603 17571.176580 0.000115 -0.006010 0.000088 -0.005969 0
0.122603 17571.176580 0.000112 -0.006009 -0.000021 -0.005912 0
0.122072 17561.332477 0.000112 -0.006009 -0.000021 -0.005912 0
0.122072 17561.332477 0.000112 -0.006009 -0.000021 -0.005912 0
0.122072 17561.332477 0.000109 -0.006009 -0.000116 -0.006015 0
0.121136 17476.416206 0.000109 -0.006009 -0.000116 -0.006015 0
0.121136 17476.416206 0.000109 -0.006009 -0.000116 -0.006015 0
0.121136 17476.416206 0.000103 -0.006008 -0.000228 -0.005961 0
0.119810 17468.079879 0.000103 -0.006008 -0.000228 -0.005961 0
0.119810 17468.079879 0.000103 -0.006008 -0.000228 -0.005961 0
0.119810 17468.079879 0.000103 -0.006008 -0.000228 -0.005961 0
0.119810 17468.079879 0.000096 -0.006009 -0.000321 -0.006066 0
0.118124 17381.454025 0.000096 -0.006009 -0.000321 -0.006066 0
0.118124 17381.454025 0.000096 -0.006009 -0.000321 -0.006066 0
0.118124 17381.454025 0.000088 -0.006009 -0.000429 -0.006013 0
0.116094 17374.390033 0.000088 -0.006009 -0.000429 -0.006013 0
0.116094 17374.390033 0.000088 -0.006009 -0.000429 -0.006013 0
0.116094 17374.390033 0.000078 -0.006011 -0.000515 -0.006116 0
0.113759 17286.468530 0.000078 -0.006011 -0.000515 -0.006116 0
0.113759 17286.468530 0.000078 -0.006011 -0.000515 -0.006116 0
0.113759 17286.468530 0.000078 -0.006011 -0.000515 -0.006116 0
0.113759 17286.468530 0.000066 -0.006011 -0.000613 -0.006060 0
0.111134 17280.477408 0.000066 -0.006011 -0.000613 -0.006060 0
0.111134 17280.477408 0.000066 -0.006011 -0.000613 -0.006060 0
0.111134 17280.477408 0.000054 -0.006014 -0.000688 -0.006159 0
0.108270 17191.638236 0.000054 -0.006014 -0.000688 -0.006159 0
0.108270 17191.638236 0.000054 -0.006014 -0.000688 -0.006159 0
0.108270 17191.638236 0.000041 -0.006015 -0.000773 -0.006099 0
0.105174 17186.561291 0.000041 -0.006015 -0.000773 -0.006099 0
0.105174 17186.561291 0.000041 -0.006015 -0.000773 -0.006099 0
0.105174 17186.561291 0.000041 -0.006015 -0.000773 -0.006099 0
0.105174 17186.561291 0.000026 -0.006018 -0.000833 -0.006193 0
0.101906 17097.131308 0.000026 -0.006018 -0.000833 -0.006193 0
0.101906 17097.131308 0.000026 -0.006018 -0.000833 -0.006193 0
0.101906 17097.131308 0.000011 -0.006020 -0.000902 -0.006127 0
0.098469 17092.847547 0.000011 -0.006020 -0.000902 -0.006127 0
0.098469 17092.847547 0.000011 -0.006020 -0.000902 -0.006127 0
0.098469 17092.847547 -0.000005 -0.006023 -0.000947 -0.006215 0
