Time X Y Z
0.016624 -0.144532 0.196002 0.467020
0.016262 -0.144382 0.195843 0.467128
0.016610 -0.144281 0.195554 0.467079
0.017805 -0.144124 0.195299 0.467217
0.015567 -0.144052 0.195053 0.467178
0.016437 -0.143970 0.194876 0.467269
0.015773 -0.143969 0.194729 0.467195
0.016001 -0.143961 0.194666 0.467287
0.016190 -0.143959 0.194627 0.467260
0.015178 -0.143938 0.194645 0.467402
0.014952 -0.143938 0.194645 0.467402
0.017312 -0.143943 0.194659 0.467408
0.015892 -0.143870 0.194707 0.467530
0.016516 -0.143858 0.194726 0.467578
0.016361 -0.143800 0.194776 0.467742
0.016234 -0.143786 0.194796 0.467765
0.016910 -0.143737 0.194828 0.467906
0.017422 -0.143703 0.194842 0.467999
0.015490 -0.143644 0.194870 0.468208
0.016370 -0.143638 0.194863 0.468257
0.015902 -0.143552 0.194863 0.468446
0.016108 -0.143534 0.194825 0.468468
0.017721 -0.143431 0.194792 0.468616
0.014675 -0.143384 0.194725 0.468613
0.018031 -0.143257 0.194668 0.468710
0.015747 -0.143166 0.194584 0.468666
0.018307 -0.143039 0.194525 0.468766
0.017108 -0.142954 0.194435 0.468717
0.016371 -0.142806 0.194363 0.468804
0.015672 -0.142690 0.194274 0.468760
0.015109 -0.142521 0.194211 0.468867
0.018575 -0.142415 0.194153 0.468859
0.016704 -0.142247 0.194135 0.468990
0.017007 -0.142173 0.194085 0.469018
0.016675 -0.142023 0.194062 0.469134
0.015373 -0.141947 0.194018 0.469160
0.015218 -0.141794 0.193994 0.469268
0.015550 -0.141710 0.193885 0.469297
0.016590 -0.141532 0.193870 0.469376
0.016150 -0.141430 0.193813 0.469380
0.015690 -0.141301 0.193782 0.469463
0.015599 -0.141208 0.193718 0.469470
0.015243 -0.141074 0.193673 0.469579
0.015698 -0.140993 0.193615 0.469643
