Pseudo;SCIndex;PushName;angle;mass;height;StepIndex;Impulse;MaxForce;PerturbationDuration;StepFrame;EscapeTtb;EscapeDtb;EscapeMoS;MinTtb;MinMoS;MinDtb;MaxSpeed;MinCpred;CrossoverIndex;MinTtr;MaxTheta_trunk;MaxOmega_trunk;MaxLinMom_xf;MaxAngMom_yf;MaxAngMom_z;Max_KE;Max_lin_KE;Max_angle_KE;Final_CoM_x;Final_CoM_y
ROM0497A;0;PL180_1;180;63.4;1.76;2;13.994388301779482;62.916532396890275;0.61;1236;0.38426862029206726;0.16882962214329406;0.03076184542710723;0.39100840728174013;0.033044014735721;0.1659645105965092;0.4305072163272724;-35.35826928486365;-1.0;4.81075207159165;0.03480770215503392;-0.3238664032449058;40.8090645678593;2.65692976985139;0.334252381079265;8.0617314353619;11.806921716161972;0.04453953248672299;0.291716703755676;-0.0225775392921475
ROM0497A;0;PL180_2;180;63.4;1.76;0;12.434729548419886;48.26979674607983;0.5700000000000001;902;0;0;1000.0;0.7848078444814808;0.05713621460303739;0.07045918531901277;0.18880214352365568;-25672.002859657765;0;3.724365500133299;0.06833786242578654;-0.41007477724086455;11.7830880759291;1.77256576548664;0.449608741985234;1.37871904425958;2.274745749129848;0.07840467601017867;-0.0125918387381858;-0.0145061524711395
LIC1296A;0;PH180_1;180;62.3;1.635;2;25.79930487125406;68.11916765750782;0.9550000000000001;714;0.2947470052581344;0.09401811769113351;-0.0025325581596692317;0.2979344757779894;-0.0015263595195594158;0.09321942886859436;0.32754123568744886;-359.87702797926966;1.0;3.1095938846131226;0.10506470486168874;-0.47525001216674745;24.4140379302325;6.16671778128541;1.23681883407584;6.16315008203263;6.593980963745437;0.03825595909646865;0.391278913465753;-0.169828017387467
LIC1296A;0;PH180_2;180;62.3;1.635;2;26.863060471381278;65.2777029328833;0.8200000000000001;889;0.3500616842371797;0.09850238140766263;0.013219823031033353;0.35402435933335097;0.014450708106796922;0.100422462240631;0.2891621134931645;-165.83731777539907;-1.0;1.0010227407161438;0.2113020268957268;1.3581053103015133;18.0321879882559;4.64734515542349;-0.411431018940526;4.29373479645567;5.21879502784148;0.48369284333641793;0.208534655031923;-0.199666476105617
LIC1296A;0;PM180_1;180;62.3;1.635;0;12.40199796119062;44.761889509084675;0.59;1302;0;0;1000.0;0.6152936272384638;0.06428148814231494;0.1021591871997655;0.22013710244798762;-297.3725725007567;0;1.172802724806966;0.1838519981795968;-1.2320016795196176;13.6709465516824;1.50912874774332;0.647574090175634;1.88192318142341;3.0116422186975647;0.4470939516122306;-0.00565484522316018;0.0204870074666968
LIC1296A;0;PM180_2;180;62.3;1.635;2;22.176668475923613;63.61274629356464;0.74;807;0.3148741498754609;0.1141529599504855;0.004493793328696697;0.31988174666319835;0.00631982577197498;0.09767268511550856;0.3631506164093697;-486.40936850605715;1.0;1.0679755811630522;0.1975478280322454;1.3229357978795069;23.2631433555429;2.72626924979986;2.05001412074943;5.59438641036896;8.259143595288776;0.8412962338118962;0.319782723139002;-0.184053781133504
LIC1296A;0;PL180_1;180;62.3;1.635;0;9.102922687252663;36.66760742440702;0.605;1147;0;0;1000.0;0.5150460845125346;0.04156875965803691;0.08318295352163126;0.2669814096336908;-196.0767562427916;0;2.2841796166536597;0.12242185643280631;-0.6487395990032507;16.5918229696077;2.2813713358047;-0.346169326028357;2.58011164571078;4.427976400545137;0.032423019832528745;-0.0187886260178176;0.0108642994652763
LIC1296A;0;PL180_2;180;62.3;1.635;0;10.288651392752902;46.64802348186064;0.6;1211;0;0;1000.0;1.2164982723755484;0.08558580399264501;0.08857236467219907;0.12246929834508483;-429.42038824004237;0;3.2045695900571713;0.07927813629233692;0.47926083579620526;7.57076866902528;1.61957504571884;-0.0458378632144966;0.662456919237535;0.929538071427122;0.0002636513776310891;-0.00887561914549195;-0.00376838789300227
LEL1191A;0;PH180_1;180;70.9;1.69;0;31.903278022344377;95.68698396275165;0.755;1109;0;0;1000.0;0.45828434421947506;0.038842795145632276;0.10786870369719345;0.2625360043258886;-456.48571962031446;0;1.6670718214543334;0.2458875842284771;-0.878655901182819;18.5349255406957;6.06134924068417;0.428033721313573;4.86481703690836;4.905687665047791;0.24416845996703704;0.00618825969524939;0.00586749225626426
LEL1191A;0;PH180_2;180;70.9;1.69;0;29.38684443924379;73.11695467294304;0.81;1316;0;0;1000.0;0.5818769879786327;0.05506387352053621;0.06641004043516965;0.20771002812585096;-251.4725556559953;0;3.363789432358701;0.06855239797858233;-0.4606591183019579;14.6901442415364;4.94540903421776;-0.195017333963939;3.35833958124758;3.0427271635906177;0.012142730732182756;0.00209818267579598;0.0203243276000893
LEL1191A;0;PM180_1;180;70.9;1.69;0;24.54314938872232;69.11125033560795;0.755;1562;0;0;1000.0;0.8086562807260006;0.08913916082963008;0.13862305287346136;0.17977646863679242;-963.3847168768598;0;4.811018818221381;0.05041075806182327;0.31892266499089006;12.7121653358355;4.34964763383741;-0.0667650731327287;2.54644581216126;2.3306540713594153;0.0028068396118792866;0.00278120097940748;0.0200760420586876
LEL1191A;0;PM180_2;180;70.9;1.69;0;22.31613427092965;75.37191883213572;0.85;954;0;0;1000.0;1.1885754425994999;0.11029977733910805;0.11047357636191048;0.1466394118236906;-242.58560984593947;0;5.772492004323189;0.052517391580737656;0.26716602782936133;9.94144128730525;4.19626726291955;0.148052508637469;2.08158271857145;1.5124014071559426;0.0011739153318906963;-0.00242883085019718;-0.00106616792977954
