q0 qdot0 tau0 q1 qdot1 tau1 q2 qdot2 tau2 q3 qdot3 tau3 q4 qdot4 tau4 q5 qdot5 tau5 q6 qdot6 tau6 q7 qdot7 tau7 q8 qdot8 tau8 q9 qdot9 tau9 q10 qdot10 tau10 q11 qdot11 tau11 
0 0 -0.461713 9.49671 7.79632 34.144 0 0 0 0 0 0 -2.80438 0 -5.77799 -3.22329 0 -11.9082 0 0 0 -0.13719 0 -0.0105877 -4.57322 0 -21.653 0.0357611 0 6.14702 0 0 0 4.66806 0 1.43655 
0 0 -0.461713 9.49671 7.79632 34.144 0 0 0 0 0 0 -2.80438 0 -5.77799 -3.22329 0 -11.9082 0 0 0 -0.13719 0 -0.0105877 -4.57322 0 -21.653 0.0357611 0 6.14702 0 0 0 4.66806 0 1.43655 
0 0 -0.352409 5.48901 7.63191 -33.8222 0 0 0 0 0 0 -3.43815 0 -17.851 -3.01176 0 -8.31472 0 0 0 -0.350909 0 -0.0807094 -4.62033 0 -23.5148 0.258673 0 14.1357 0 0 0 4.71723 0 1.45135 
0 0 -0.35312 5.48901 7.63191 -33.8198 0 0 0 0 0 0 -3.43815 0 -17.8446 -3.01176 0 -8.30281 0 0 0 -0.350909 0 -0.0807094 -4.62033 0 -23.4932 0.258673 0 14.151 0 0 0 4.71723 0 1.45135 
0 0 -0.35312 5.48901 7.63191 -33.8198 0 0 0 0 0 0 -3.43815 0 -17.8446 -3.01176 0 -8.30281 0 0 0 -0.350909 0 -0.0807094 -4.62033 0 -23.4932 0.258673 0 14.151 0 0 0 4.71723 0 1.45135 
0 0 -0.465162 9.54817 7.6671 35.3068 0 0 0 0 0 0 -2.67565 0 -5.02214 -3.09476 0 -11.0585 0 0 0 -0.159656 0 -0.0177996 -4.57252 0 -21.5849 0.0587004 0 6.27935 0 0 0 4.66726 0 1.43634 
0 0 -0.464662 9.54817 7.6671 35.3051 0 0 0 0 0 0 -2.67565 0 -5.02668 -3.09476 0 -11.0669 0 0 0 -0.159656 0 -0.0177996 -4.57252 0 -21.6002 0.0587004 0 6.26844 0 0 0 4.66726 0 1.43634 
0 0 -0.464662 9.54817 7.6671 35.3051 0 0 0 0 0 0 -2.67565 0 -5.02668 -3.09476 0 -11.0669 0 0 0 -0.159656 0 -0.0177996 -4.57252 0 -21.6002 0.0587004 0 6.26844 0 0 0 4.66726 0 1.43634 
0 0 -0.356715 5.53144 7.49472 -32.7263 0 0 0 0 0 0 -3.30355 0 -17.0978 -2.87649 0 -7.45631 0 0 0 -0.370554 0 -0.0870529 -4.61841 0 -23.3513 0.278849 0 14.3318 0 0 0 4.71517 0 1.45074 
0 0 -0.357424 5.53144 7.49472 -32.7239 0 0 0 0 0 0 -3.30355 0 -17.0915 -2.87649 0 -7.44448 0 0 0 -0.370554 0 -0.0870529 -4.61841 0 -23.3297 0.278849 0 14.347 0 0 0 4.71517 0 1.45074 
0 0 -0.357424 5.53144 7.49472 -32.7239 0 0 0 0 0 0 -3.30355 0 -17.0915 -2.87649 0 -7.44448 0 0 0 -0.370554 0 -0.0870529 -4.61841 0 -23.3297 0.278849 0 14.347 0 0 0 4.71517 0 1.45074 
0 0 -0.357424 5.53144 7.49472 -32.7239 0 0 0 0 0 0 -3.30355 0 -17.0915 -2.87649 0 -7.44448 0 0 0 -0.370554 0 -0.0870529 -4.61841 0 -23.3297 0.278849 0 14.347 0 0 0 4.71517 0 1.45074 
0 0 -0.469275 9.56077 7.51874 36.1266 0 0 0 0 0 0 -2.53288 0 -4.22078 -2.95168 0 -10.1625 0 0 0 -0.179333 0 -0.0241963 -4.56723 0 -21.3778 0.0790397 0 6.50681 0 0 0 4.66169 0 1.43468 
0 0 -0.468749 9.56077 7.51874 36.1248 0 0 0 0 0 0 -2.53288 0 -4.22553 -2.95168 0 -10.1713 0 0 0 -0.179333 0 -0.0241963 -4.56723 0 -21.3939 0.0790397 0 6.49539 0 0 0 4.66169 0 1.43468 
0 0 -0.468749 9.56077 7.51874 36.1248 0 0 0 0 0 0 -2.53288 0 -4.22553 -2.95168 0 -10.1713 0 0 0 -0.179333 0 -0.0241963 -4.56723 0 -21.3939 0.0790397 0 6.49539 0 0 0 4.66169 0 1.43468 
