c1x c1z c2x c2z c3x c3z c4x c4z c5x c5z c6x c6z c7x c7z c8x c8z X Z vX vZ
0.155053 -0.057970 0.347546 -0.056302 0.157686 -0.361958 0.350179 -0.360291 -0.347505 -0.056342 -0.155013 -0.058064 -0.350225 -0.360330 -0.157733 -0.362052 -0.000009 -0.259546 0.000005 0.010989
0.155056 -0.057968 0.347549 -0.056305 0.157683 -0.361957 0.350176 -0.360293 -0.347508 -0.056344 -0.155016 -0.058063 -0.350222 -0.360332 -0.157730 -0.362051 -0.000009 -0.259547 0.000017 0.010806
0.155059 -0.057967 0.347551 -0.056306 0.157681 -0.361955 0.350174 -0.360295 -0.347510 -0.056345 -0.155018 -0.058061 -0.350220 -0.360333 -0.157728 -0.362049 -0.000009 -0.259547 0.000017 0.010361
0.155061 -0.057965 0.347554 -0.056308 0.157679 -0.361954 0.350171 -0.360296 -0.347513 -0.056347 -0.155020 -0.058060 -0.350218 -0.360335 -0.157725 -0.362048 -0.000009 -0.259548 0.000024 0.009681
0.155063 -0.057964 0.347556 -0.056309 0.157677 -0.361953 0.350170 -0.360298 -0.347514 -0.056348 -0.155022 -0.058059 -0.350216 -0.360336 -0.157724 -0.362047 -0.000009 -0.259548 0.000024 0.008791
0.155064 -0.057964 0.347557 -0.056310 0.157675 -0.361952 0.350168 -0.360299 -0.347516 -0.056349 -0.155024 -0.058058 -0.350215 -0.360337 -0.157722 -0.362046 -0.000009 -0.259549 0.000029 0.007716
0.155065 -0.057963 0.347558 -0.056311 0.157674 -0.361952 0.350167 -0.360300 -0.347517 -0.056349 -0.155025 -0.058057 -0.350213 -0.360337 -0.157721 -0.362045 -0.000009 -0.259549 0.000030 0.006479
0.155067 -0.057962 0.347559 -0.056312 0.157673 -0.361951 0.350166 -0.360301 -0.347518 -0.056350 -0.155026 -0.058056 -0.350213 -0.360338 -0.157720 -0.362044 -0.000009 -0.259549 0.000032 0.005104
0.155067 -0.057962 0.347560 -0.056312 0.157672 -0.361951 0.350165 -0.360301 -0.347519 -0.056350 -0.155026 -0.058055 -0.350212 -0.360338 -0.157720 -0.362044 -0.000009 -0.259549 0.000031 0.003561
0.155068 -0.057961 0.347561 -0.056312 0.157672 -0.361950 0.350165 -0.360301 -0.347519 -0.056350 -0.155027 -0.058055 -0.350212 -0.360338 -0.157719 -0.362043 -0.000009 -0.259549 0.000029 0.001692
0.155068 -0.057961 0.347561 -0.056313 0.157672 -0.361950 0.350165 -0.360302 -0.347520 -0.056350 -0.155027 -0.058055 -0.350211 -0.360338 -0.157719 -0.362043 -0.000009 -0.259549 0.000023 -0.000594
0.155068 -0.057961 0.347561 -0.056313 0.157672 -0.361950 0.350164 -0.360302 -0.347520 -0.056351 -0.155027 -0.058055 -0.350211 -0.360339 -0.157719 -0.362043 -0.000009 -0.259549 0.000026 -0.003233
0.155069 -0.057961 0.347561 -0.056313 0.157671 -0.361950 0.350164 -0.360302 -0.347520 -0.056350 -0.155028 -0.058055 -0.350211 -0.360339 -0.157719 -0.362043 -0.000009 -0.259549 0.000012 -0.006152
0.155069 -0.057961 0.347562 -0.056313 0.157671 -0.361950 0.350164 -0.360302 -0.347520 -0.056351 -0.155028 -0.058055 -0.350211 -0.360339 -0.157719 -0.362043 -0.000009 -0.259550 0.000021 -0.009031
0.155069 -0.057961 0.347562 -0.056313 0.157671 -0.361950 0.350164 -0.360302 -0.347520 -0.056351 -0.155028 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 0.000005 -0.011821
0.155069 -0.057961 0.347562 -0.056313 0.157671 -0.361950 0.350164 -0.360302 -0.347520 -0.056351 -0.155028 -0.058055 -0.350211 -0.360339 -0.157718 -0.362043 -0.000009 -0.259550 0.000016 -0.014410
0.155069 -0.057961 0.347562 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.347521 -0.056351 -0.155028 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 -0.000001 -0.016752
0.155069 -0.057961 0.347562 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.347521 -0.056351 -0.155028 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 0.000008 -0.018877
