q torque X Z vX vZ pasEffectue 
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.060219 6580.487020 0.000692 -0.016300 0.001716 -0.074480 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.064552 6470.578294 0.000692 -0.016300 0.001716 -0.074484 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.064552 6470.578294 0.000692 -0.016300 0.001716 -0.074484 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
